epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,734.982,0.77363,1.73545,1.44758,1.09425,0,0.56694,0.58915,0.57536,0.47216,0.56778,0.58806,0.57664,0.45331,0.73402,1.4583,0.88635,1.02998,0,0.00999715,0.00333238,0.00999715,0.00333238,0.00999715,0.00333238,0.00999715,0.00333238
2,1303.14,0.66554,1.32982,0.99599,1.01364,0,0.62811,0.56319,0.62063,0.51294,0.62877,0.56372,0.61957,0.4952,0.69261,1.32561,0.80071,1.00124,0,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373
3,1814.84,0.67338,1.30666,0.98036,1.01334,0,0.59965,0.58719,0.62952,0.51936,0.59941,0.58993,0.62936,0.50548,0.71741,1.33652,0.81392,1.01108,0,0.0288093,0.00960309,0.0288093,0.00960309,0.0288093,0.00960309,0.0288093,0.00960309
4,2309.18,0.68816,1.31894,0.9939,1.02043,0,0.61409,0.60383,0.62819,0.51705,0.61834,0.60503,0.62949,0.49875,0.7052,1.31428,0.7996,1.00418,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2805.03,0.6716,1.27469,0.96092,1.01155,0,0.70064,0.58057,0.65058,0.5428,0.69629,0.58018,0.64889,0.5242,0.68423,1.27032,0.75881,0.99087,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3301.95,0.65657,1.2425,0.93594,1.00292,0,0.64949,0.59874,0.66469,0.55738,0.65453,0.59855,0.66703,0.53997,0.67616,1.23165,0.74364,0.9892,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3798.78,0.64766,1.21909,0.91397,0.99672,0,0.64274,0.64305,0.67463,0.56904,0.64409,0.64542,0.67504,0.54653,0.65505,1.21419,0.72404,0.97834,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4297.58,0.63896,1.19857,0.89983,0.99262,0,0.63958,0.69636,0.69676,0.58675,0.64019,0.6952,0.69611,0.56553,0.63932,1.18716,0.69867,0.97061,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4812.4,0.62706,1.18077,0.88277,0.98592,0,0.7098,0.63223,0.70026,0.59744,0.71176,0.63399,0.70216,0.57614,0.63148,1.16149,0.68743,0.96376,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5323.94,0.62279,1.16503,0.87388,0.98431,0,0.68959,0.66971,0.71708,0.61664,0.69291,0.67134,0.71843,0.59488,0.62145,1.15229,0.67129,0.95721,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
